clean_name,year,total_spending,total_claims,manufacturer_count,first_generic_year,cost_per_claim,generic_imminent,monopoly_risk,revenue_share,risk_score
eliquis,2023,7304981234.5,12126472.0,1,,602.399546587004,0,1.0,0.040823319062651284,1.2164663812530256
revlimid,2023,4673095051.6,307890.0,1,,15177.807176589044,0,1.0,0.02611522797630038,0.9223045595260077
xarelto,2023,4076953903.0,6315952.0,1,,645.5010904136067,0,1.0,0.022783739566619478,0.8556747913323896
januvia,2023,3535674312.3,4757046.0,1,,743.2499732607168,0,1.0,0.01975884070324001,0.7951768140648002
lantus solostar,2023,2495607645.5,4421942.0,1,,564.3691494596718,0,1.0,0.013946509087016388,0.6789301817403277
imbruvica,2023,2439968991.1,206107.0,1,,11838.36061414702,0,1.0,0.01363557679740822,0.6727115359481644
trulicity,2023,2272876283.7,2138442.0,1,,1062.8655271922269,0,1.0,0.012701792207378491,0.6540358441475698
lyrica,2023,2028232803.05,3446637.0,1,,588.4671936876439,0,1.0,0.011334621157026561,0.6266924231405313
symbicort,2023,2015902102.1,4409932.0,1,,457.1277067537549,0,1.0,0.011265711994499132,0.6253142398899827
ibrance,2023,1826116445.6,150204.0,1,,12157.575334877898,0,1.0,0.010205109624677364,0.6041021924935474
humira pen,2023,1749371715.9,267832.0,1,,6531.6008389587505,0,1.0,0.009776227675997798,0.595524553519956
levemir flextouch,2023,1622076814.2,2516819.0,1,,644.4948223134044,0,1.0,0.009064850025552181,0.5812970005110436
victoza 3pak,2023,1526957830.4,1120952.0,1,,1362.1973379770054,0,1.0,0.008533284987952418,0.5706656997590485
advair diskus,2023,1449199813.2,2681911.0,1,,540.3608893807439,0,1.0,0.008098740360945994,0.5619748072189199
jardiance,2023,1447618561.9,1812087.0,1,,798.868134863282,0,1.0,0.008089903661128989,0.5617980732225798
myrbetriq,2023,1444965897.0,2773288.0,1,,521.0298739258238,0,1.0,0.008075079449799388,0.5615015889959878
xtandi,2023,1420960112.9,125338.0,1,,11337.025586015416,0,1.0,0.00794092499379133,0.5588184998758267
restasis,2023,1355216502.9,1648716.0,1,,821.9829873064858,0,1.0,0.007573521946308456,0.5514704389261691
breo ellipta,2023,1339538932.1,3070084.0,1,,436.3199613105048,0,1.0,0.007485909062120188,0.5497181812424038
enbrel sureclick,2023,1291371956.3,210624.0,1,,6131.171928650107,0,1.0,0.007216731666827264,0.5443346333365453
spiriva handihaler,2023,1275485307.6,2011325.0,1,,634.15176940574,0,1.0,0.007127950367067943,0.5425590073413589
invega sustenna,2023,1249854888.3,547532.0,1,,2282.70656016452,0,1.0,0.006984716763694416,0.5396943352738883
humalog kwikpen u100,2023,1218056279.4,1595961.0,1,,763.2118074313846,0,1.0,0.0068070127128280885,0.5361402542565619
humiracf pen,2023,1205499314.8,183509.0,1,,6569.156361813317,0,1.0,0.006736839093503341,0.5347367818700668
pomalyst,2023,1192203837.9,68971.0,1,,17285.581445825057,0,1.0,0.006662538355670446,0.533250767113409
tradjenta,2023,1187508657.9,1890068.0,1,,628.2888541047201,0,1.0,0.006636299707678943,0.5327259941535789
lantus,2023,1158800854.5,2050972.0,1,,565.0008164421553,0,1.0,0.006475868382783653,0.529517367655673
tecfidera,2023,1131042461.4,123304.0,1,,9172.796189904626,0,1.0,0.006320742763454754,0.5264148552690951
jakafi,2023,1124858034.6,85335.0,1,,13181.67263842503,0,1.0,0.006286181575633537,0.5257236315126708
biktarvy,2023,1119532432.1,341048.0,1,,3282.62424086932,0,1.0,0.006256419860568265,0.5251283972113654
janumet,2023,1065917495.23,1474046.0,1,,723.1236306261812,0,1.0,0.0059567969588651196,0.5191359391773024
epclusa,2023,1015500824.7,41556.0,1,,24436.92426364424,0,1.0,0.005675047319673387,0.5135009463934678
linzess,2023,983904809.21,1712232.0,1,,574.6328822320808,0,1.0,0.005498475446310453,0.5099695089262091
shingrix,2023,959025370.72,5769590.0,1,,166.22071424832615,0,1.0,0.0053594386407427525,0.5071887728148551
prednisolone,2023,1035722.4,49481.0,4,2025.0,20.931719245771106,1,0.25,5.788054019337802e-06,0.5001157610803868
tresiba flextouch u200,2023,843742478.14,790164.0,1,,1067.806782060433,0,1.0,0.004715189168337253,0.4943037833667451
copaxone,2023,836919238.59,128170.0,1,,6529.759215026917,0,1.0,0.004677058025183178,0.4935411605036636
